,lat,temp,humidity,wind_speed,cloudiness,city_name
536,62.71,-6.8,72,3.41,0,Troitsko-Pechorsk
537,34.25,3.9,59,1.51,1,Show Low
538,2.34,16.38,83,1.16,0,Marsabit
539,11.41,23.33,91,4.21,12,Coro
540,10.4,19.6,37,4.36,8,Kontagora
541,-20.01,31.0,66,6.7,40,Bowen
542,57.88,-12.48,85,1.31,88,Makaryev
543,56.44,-14.3,79,2.71,68,Mikhaylovsk
544,41.12,-1.7,88,1.26,1,North Platte
545,-3.41,16.55,100,1.31,92,Uvira
546,9.92,10.58,57,2.31,8,Jos
547,13.79,20.18,36,3.86,0,Nioro
548,25.12,15.7,100,3.31,0,Gwadar
